name,restaurant,category,calories,carbs,fat
A&W® Diet Root Beer,A&W Restaurants,Drinks,0,0,0
A&W® Diet Root Beer,A&W Restaurants,Drinks,0,0,0
A&W® Diet Root Beer,A&W Restaurants,Drinks,0,0,0
A&W® Diet Root Beer,A&W Restaurants,Drinks,0,0,0
A&W® Diet Root Beer,A&W Restaurants,Drinks,0,0,0
A&W® Diet Root Beer,A&W Restaurants,Drinks,0,0,0
A&W® Diet Root Beer Float (large),A&W Restaurants,Shakes,350,60,10
A&W® Diet Root Beer Float (medium),A&W Restaurants,Shakes,170,30,5
A&W® Diet Root Beer Float (small),A&W Restaurants,Shakes,170,30,5
A&W® Diet Root Beer Freeze (large),A&W Restaurants,Shakes,600,92,18
A&W® Diet Root Beer Freeze (medium),A&W Restaurants,Shakes,340,53,10
A&W® Diet Root Beer Freeze (small),A&W Restaurants,Shakes,260,39,8
A&W® Root Beer,A&W Restaurants,Drinks,160,43,0
A&W® Root Beer,A&W Restaurants,Drinks,220,58,0
A&W® Root Beer,A&W Restaurants,Drinks,270,72,0
A&W® Root Beer,A&W Restaurants,Drinks,440,116,0
A&W® Root Beer,A&W Restaurants,Drinks,880,232,0
A&W® Root Beer,A&W Restaurants,Drinks,1760,464,0
A&W® Root Beer Float (large),A&W Restaurants,Shakes,640,136,10
A&W® Root Beer Float (medium),A&W Restaurants,Shakes,350,77,5
A&W® Root Beer Float (small),A&W Restaurants,Shakes,330,70,5
A&W® Root Beer Freeze (large),A&W Restaurants,Shakes,820,150,18
A&W® Root Beer Freeze (medium),A&W Restaurants,Shakes,480,89,10
A&W® Root Beer Freeze (small),A&W Restaurants,Shakes,370,68,8
Blue Raspberry Slushee,A&W Restaurants,Drinks,270,67,0
Blue Raspberry Slushee,A&W Restaurants,Drinks,370,91,0
Blue Raspberry Slushee,A&W Restaurants,Drinks,570,142,0
Blue Raspberry Slushee,A&W Restaurants,Drinks,740,182,0
Breaded Onion Rings (Large),A&W Restaurants,Sides,480,62,27
Breaded Onion Rings (Regular),A&W Restaurants,Sides,350,45,16
Caramel Sundae,A&W Restaurants,Desserts,340,57,9
Cheese Curds (Large),A&W Restaurants,Sides,1140,54,80
Cheese Curds (Regular),A&W Restaurants,Sides,570,27,40
Cheese Dog,A&W Restaurants,Entrees,350,26,22
Cheese Fries,A&W Restaurants,French Fries,390,50,18
Cheeseburger,A&W Restaurants,Burgers,420,37,21
Cherry Limeade,A&W Restaurants,Drinks,190,51,0
Cherry Limeade,A&W Restaurants,Drinks,300,79,0
Cherry Limeade,A&W Restaurants,Drinks,340,90,0
Cherry Limeade,A&W Restaurants,Drinks,530,138,0
Cherry Slushee,A&W Restaurants,Drinks,330,83,0
Cherry Slushee,A&W Restaurants,Drinks,450,112,0
Cherry Slushee,A&W Restaurants,Drinks,570,141,0
Cherry Slushee,A&W Restaurants,Drinks,900,224,0
Chicken Strips- 3 pieces,A&W Restaurants,Chicken,500,32,29
Chili,A&W Restaurants,Sides,190,22,6
Chili Cheese Fries,A&W Restaurants,French Fries,410,52,17
Chili Fries,A&W Restaurants,French Fries,370,49,15
Chocolate Fudge Blendrrr,A&W Restaurants,Desserts,490,68,30
Chocolate Fudge Blendrrr,A&W Restaurants,Desserts,560,92,32
Chocolate Fudge Blendrrr,A&W Restaurants,Desserts,1010,152,59
Chocolate Milkshake (medium),A&W Restaurants,Shakes,880,125,36
Chocolate Milkshake (small),A&W Restaurants,Shakes,700,100,29
Chocolate Sundae,A&W Restaurants,Desserts,320,53,8
Coney (Chili) Cheese Dog,A&W Restaurants,Entrees,380,28,23
Coney (Chili) Dog,A&W Restaurants,Entrees,340,26,20
Corn Dog Nuggets® (Regular),A&W Restaurants,Sides,280,32,13
Corn Dog Nuggets® (Small/ Kids),A&W Restaurants,Sides,180,20,8
Crispy Chicken Sandwich,A&W Restaurants,Chicken,550,52,25
Crunchy Shrimp,A&W Restaurants,Seafood,340,34,19
Extra Burger Patty,A&W Restaurants,Sides,170,2,12
French Fries (Large),A&W Restaurants,French Fries,430,61,17
French Fries (Regular),A&W Restaurants,French Fries,310,45,12
French Fries (Small/ Kids),A&W Restaurants,French Fries,200,28,8
